name,average_likes,average_shares
ArianaGrande,25731.183048662584,11560.984208830165
BarackObama,3490.8682739343117,1733.3860936408107
Cristiano,6981.608938547486,3728.2278531524344
KimKardashian,11071.699795779441,3173.210006807352
TheEllenShow,7006.413223140496,1831.1770502225047
Twitter,1005.6876365224989,699.7190913062473
YouTube,1272.312743823147,283.3722366710013
britneyspears,3054.836036036036,1709.8252252252253
cnnbrk,808.1738185768604,624.4714828897338
ddlovato,17469.572202166066,10073.300541516246
instagram,1193.7833850931677,297.53843167701865
jimmyfallon,2398.950992953235,775.5006406149904
jtimberlake,2414.96689543803,1257.3423496164714
justinbieber,65413.66083041521,45398.94897448724
katyperry,8508.639753677728,4959.667464933288
ladygaga,8601.898625429554,4408.252147766323
rihanna,6374.425591098749,4783.331015299026
selenagomez,9901.807692307691,8143.26407967033
shakira,1946.220640569395,998.5555555555555
taylorswift13,22338.86637080868,12463.765285996054
