name,num_likes,num_shares,num_posts
ArianaGrande,79843861,35873734,3103
BarackObama,9990865,4960951,2862
Cristiano,17495912,9342939,2506
KimKardashian,32528654,9322891,2938
TheEllenShow,22042176,5760883,3146
Twitter,2302019,1601657,2289
YouTube,3913634,871653,3076
britneyspears,8477170,4744765,2775
cnnbrk,1487848,1149652,1841
ddlovato,38712572,22322434,2216
instagram,3075186,766459,2576
jimmyfallon,7489525,2421113,3122
jtimberlake,5981873,3114437,2477
justinbieber,130761908,90752499,1999
katyperry,24870754,14497108,2923
ladygaga,20025220,10262411,2328
rihanna,18332848,13756860,2876
selenagomez,28834064,23713185,2912
shakira,4921992,2525347,2529
taylorswift13,45303221,25276516,2028
